state,district,crop,year,season,area,prod,yield,jun_rain,jul_rain,aug_rain,sep_rain,oct_rain
CHHATTISGARH,RAJNANDGAON,RICE,2009,Monsoon,269249.0,210540.0,0.78,3.11,18.42,9.39,3.37,1.44
CHHATTISGARH,RAJNANDGAON,RICE,2010,Monsoon,274412.0,438569.0,1.6,4.9,15.62,10.89,10.36,2.03
CHHATTISGARH,RAJNANDGAON,RICE,2011,Monsoon,276480.0,458453.0,1.66,6.31,11.83,15.47,11.32,0.13
CHHATTISGARH,RAJNANDGAON,RICE,2012,Monsoon,277609.0,512609.0,1.85,7.6,19.01,14.99,9.42,0.69
CHHATTISGARH,RAJNANDGAON,RICE,2013,Monsoon,281928.0,428897.0,1.52,14.76,19.63,12.7,5.55,5.45
CHHATTISGARH,RAJNANDGAON,RICE,2014,Monsoon,287194.0,480285.0,1.67,3.01,16.56,7.8,8.62,2.16
CHHATTISGARH,RAJNANDGAON,RICE,2015,Monsoon,268648.0,199339.0,0.74,11.31,6.88,10.86,7.89,0.26
CHHATTISGARH,RAJNANDGAON,RICE,2016,Monsoon,290276.0,539710.0,1.86,5.38,12.06,7.87,10.4,2.15
CHHATTISGARH,RAJNANDGAON,RICE,2017,Monsoon,294317.0,307925.0,1.05,5.14,13.8,7.88,5.16,1.46
CHHATTISGARH,RAJNANDGAON,RICE,2018,Monsoon,310786.0,427239.0,1.37,5.72,12.46,10.74,3.38,0.08
CHHATTISGARH,RAJNANDGAON,RICE,2019,Monsoon,340270.0,613716.0,1.8,4.6,10.13,12.21,14.86,2.21
CHHATTISGARH,SURGUJA,RICE,2000,Monsoon,309313.0,194681.0,0.63,6.6,7.18,3.94,5.65,0.14
CHHATTISGARH,SURGUJA,RICE,2001,Monsoon,314482.0,411096.0,1.31,8.6,17.35,12.45,2.83,2.21
CHHATTISGARH,SURGUJA,RICE,2002,Monsoon,311106.0,221033.0,0.71,6.24,4.28,10.2,6.68,1.17
CHHATTISGARH,SURGUJA,RICE,2003,Monsoon,314170.0,404374.0,1.29,7.52,8.52,11.31,12.44,5.32
CHHATTISGARH,SURGUJA,RICE,2004,Monsoon,310959.0,299182.0,0.96,9.91,9.23,13.98,4.58,1.7
CHHATTISGARH,SURGUJA,RICE,2005,Monsoon,312299.0,341368.0,1.09,6.51,11.98,9.95,6.72,2.07
CHHATTISGARH,SURGUJA,RICE,2006,Monsoon,313914.0,345995.0,1.1,3.81,11.76,10.41,4.84,0.81
CHHATTISGARH,SURGUJA,RICE,2007,Monsoon,311757.0,380351.0,1.22,5.54,10.91,8.17,11.33,0.63
CHHATTISGARH,SURGUJA,RICE,2008,Monsoon,311848.0,365590.0,1.17,12.34,12.11,10.46,7.02,0.5
CHHATTISGARH,SURGUJA,RICE,2009,Monsoon,307674.0,221619.0,0.72,2.08,10.85,8.73,4.39,2.42
CHHATTISGARH,SURGUJA,RICE,2010,Monsoon,302922.0,323612.0,1.07,3.74,8.18,7.36,8.1,1.53
CHHATTISGARH,SURGUJA,RICE,2011,Monsoon,117901.0,164828.0,1.4,9.8,7.74,12.36,13.69,0.55
CHHATTISGARH,SURGUJA,RICE,2012,Monsoon,117501.0,196105.0,1.67,3.78,13.13,15.82,6.65,0.77
CHHATTISGARH,SURGUJA,RICE,2013,Monsoon,116893.0,202401.0,1.73,8.32,10.24,12.89,6.76,10.69
CHHATTISGARH,SURGUJA,RICE,2014,Monsoon,117268.0,206623.0,1.76,3.82,10.07,10.75,6.53,3.45
CHHATTISGARH,SURGUJA,RICE,2015,Monsoon,116481.0,167130.0,1.43,5.67,14.32,12.1,6.55,0.9
CHHATTISGARH,SURGUJA,RICE,2016,Monsoon,118030.0,195872.0,1.66,2.16,11.38,18.51,7.63,2.33
CHHATTISGARH,SURGUJA,RICE,2017,Monsoon,116713.0,173296.0,1.48,6.72,19.23,10.22,5.48,1.14
CHHATTISGARH,SURGUJA,RICE,2018,Monsoon,116068.0,148351.0,1.28,4.1,14.27,10.36,3.84,0.13
CHHATTISGARH,SURGUJA,RICE,2019,Monsoon,115066.0,176024.0,1.53,4.55,10.99,12.02,10.2,1.96
